hotel name,city,certification,score,review rate,reviews,room type,occupancy,Free cancellation,pay at the property,No prepayment needed,rooms left,nights/adults,price,location rate,bb included
Plaza Hotel Tallaght,Tallaght,,8.4,Very Good,"1,251 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 199,,
Marine Hotel,Sutton,,7.7,Good,"1,591 reviews",Superior Double Room with Sea View,1 king bed,,,,,"1 night, 2 adults",€ 278,,
"Four Seasons Hotel, Carlingford",Carlingford,,8.4,Very Good,617 reviews,Executive Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 340,Location 9.5,Breakfast included
Trinity Townhouse Hotel,"Saint Stephen's Green, Dublin",,9.1,Wonderful,"1,787 reviews",Small Double Room,1 full bed,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 724,Location 9.8,Breakfast included
Celtic Ross Hotel & Leisure Centre,Rosscarbery,,8,Very Good,403 reviews,Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 199,,
"The Morrison Dublin, Curio Collection by Hilton","Dublin City Centre, Dublin",Sustainability certification,8.7,Excellent,"1,770 reviews",Superior King Room,1 king bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 302,Location 9.6,
The Dean Cork,Cork,,8.7,Excellent,"3,996 reviews",Super Rooms,1 queen bed,,,,,"1 night, 2 adults",€ 233,,
Clifden Station House Hotel,Clifden,,8.6,Excellent,836 reviews,Standard Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 251,Location 9.4,Breakfast included
"Maldron Hotel & Leisure Centre, Oranmore Galway",Oranmore,Sustainability certification,8,Very Good,"2,235 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 199,,
Harvey's Point,Donegal,,9.5,Exceptional,800 reviews,Executive Twin Suite,2 queen beds,,,,Only 1 left at this price on our site,"1 night, 2 adults",€ 360,Location 9.5,Breakfast included
Raheen Woods Hotel,Athenry,,8.7,Excellent,"1,314 reviews",Double Room,1 queen bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 184,,
The Gateway Hotel,Swinford,,8.2,Very Good,439 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 170,,Breakfast included
The K Club,Straffan,,9.1,Wonderful,493 reviews,Luxury Double or Twin Room,Multiple bed types,,,,,"1 night, 2 adults",€ 519,Location 9.6,Breakfast included
Mulcahys,Clonmel,,8.7,Excellent,404 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 150,Location 9.3,
Killarney Court Hotel,Killarney,,8.1,Very Good,"3,620 reviews",Standard Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 209,,
"The Dunraven, Adare",Adare,,8.5,Very Good,721 reviews,Superior Double Room,1 full bed,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 295,Location 9.3,Breakfast included
Garryvoe Hotel,Ballycotton,,8.5,Very Good,327 reviews,Classic double room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 248,Location 9.4,
The Chancery Hotel,"Dublin City Centre, Dublin",Sustainability certification,9.2,Wonderful,227 reviews,Standard Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 280,Location 9.6,
Clayton Hotel Cork City,Cork,Sustainability certification,8.1,Very Good,"4,617 reviews",Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 265,,
The Town House Hotel,Naas,,7.8,Good,482 reviews,Twin Room,2 twin beds,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 162,,Breakfast included
The Lodge at Woodenbridge,Arklow,,8.3,Very Good,949 reviews,Standard Double & Single Room,"2 beds (1 twin, 1 full)",,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 186,,
Hotel Kilkenny,Kilkenny,,8,Very Good,"1,719 reviews",Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 275,,
Baileys Hotel Cashel,Cashel,•  •  •  •,8.9,Excellent,634 reviews,Penthouse Suite,"2 beds (1 king, 1 sofa bed)",Free cancellation,– pay at the property,No prepayment needed,Only 1 left at this price on our site,"1 night, 2 adults",€ 395,Location 9.5,Breakfast included
Moxy Dublin City,"Dublin City Centre, Dublin",,8.3,Very Good,"2,721 reviews",Queen Room,1 queen bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 279,Location 9.3,
An Cruiscin Lan,Spiddal,,7.6,Good,616 reviews,Twin Room with Bathroom,2 twin beds,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 220,,Breakfast included
The Listowel Arms Hotel,Listowel,,8.4,Very Good,439 reviews,Standard Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 240,Location 9.4,Breakfast included
Staycity Aparthotels Dublin Mark Street,"Dublin City Centre, Dublin",•  •,8.8,Excellent,"4,303 reviews",Studio,1 queen bed,,,,,"1 night, 2 adults",€ 275,,
Blarney Woollen Mills Hotel - BW Signature Collection,Blarney,,8.7,Excellent,"1,724 reviews",Classic King Room,1 king bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 266,Location 9.3,Breakfast included
Pillo Hotel & Leisure Club,Ashbourne,,7.6,Good,"1,471 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 260,,
Woodenbridge Hotel,Arklow,,8.4,Very Good,"1,701 reviews",Standard Hotel Room,1 full bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 205,,
Kiltimagh Park Hotel,Kiltimagh,,8.8,Excellent,991 reviews,Double Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 151,,Breakfast included
Hyatt Centric The Liberties Dublin,"Dublin City Centre, Dublin",Sustainability certification,8.9,Excellent,"3,336 reviews",King Room,1 king bed,,,,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 310,,
Scholars Townhouse Hotel,Drogheda,,8.8,Excellent,680 reviews,Double Room,1 full bed,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 199,,
Delphi Lodge,Leenaun,,9.3,Wonderful,119 reviews,Double Room,1 full bed,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 359,Location 9.7,Breakfast included
Base Dingle,Dingle,,8.8,Excellent,760 reviews,Deluxe King Room,1 queen bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 295,Location 9.7,
The Lodge at Ashford Castle,Cong,Sustainability certification,9.1,Wonderful,629 reviews,Superior Deluxe Double or Twin Room,2 twin beds,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 415,Location 9.6,Breakfast included
Devon Inn Hotel,Templeglantine,,8.1,Very Good,159 reviews,Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 170,,Breakfast included
Hilton Dublin Kilmainham,Dublin,Sustainability certification,8.6,Excellent,"1,997 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 288,,
Arthaus Hotel,"Saint Stephen's Green, Dublin",,8.7,Excellent,"2,073 reviews",Standard Queen Room,1 queen bed,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 399,Location 9.6,
Castle Dargan Hotel,Sligo,,8.1,Very Good,"1,363 reviews",Castle Dargan Executive Junior Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 179,,Breakfast included
Gullane's Hotel,Ballinasloe,,8.8,Excellent,"1,064 reviews",Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 169,,Breakfast included
Cliff House Hotel,Ardmore,,9.1,Wonderful,722 reviews,Deluxe Room with Sea View,1 full bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 664,Location 9.6,Breakfast included
Carrickdale Hotel & Spa,Dundalk,,8.2,Very Good,917 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 229,,
Schoolhouse Hotel,"Ballsbridge, Dublin",,8.6,Excellent,"1,937 reviews",Deluxe King Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 419,,
Club House Hotel Kilkenny,"Kilkenny City Centre, Kilkenny",,7.4,Good,"2,413 reviews",Double Room,1 full bed,Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 230,Location 9.5,
Anantara The Marker Dublin- A Leading Hotel of the World,"Dublin City Centre, Dublin",Sustainability certification,8.9,Excellent,"3,182 reviews",Double Premium,1 king bed,,,,,"1 night, 2 adults",€ 426,,
Horse & Hound,Delgany,,8.5,Very Good,795 reviews,Bellevue- External Bathroom,Multiple bed types,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 189,,
Glashaus Hotel,Tallaght,,8.2,Very Good,"1,257 reviews",Standard Double Room,1 full bed,Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 219,,
"InterContinental Dublin, an IHG Hotel","Ballsbridge, Dublin",,8.7,Excellent,854 reviews,Standard Double Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 504,,
Killarney Plaza Hotel & Spa,Killarney,Sustainability certification,8.8,Excellent,"3,189 reviews",Deluxe King Room,1 queen bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 299,Location 9.8,
The Leinster,"Dublin City Centre, Dublin",,9.2,Wonderful,48 reviews,Standard King Room,1 full bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 350,,
The Lansdowne Hotel,"Ballsbridge, Dublin",,7.5,Good,"2,243 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 284,,
The Galmont Hotel & Spa,Galway,Sustainability certification,8.2,Very Good,"4,070 reviews",Queen Room - Disability Access,1 king bed,,,,,"1 night, 2 adults",€ 320,Location 9.3,Breakfast included
The Brehon Hotel & Spa,Killarney,Sustainability certification,9,Wonderful,"1,863 reviews",Superior Deluxe Double Room,1 queen bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 325,,
Hilton Dublin,"Dublin City Centre, Dublin",Sustainability certification,8,Very Good,"2,257 reviews",Superior Queen Room,1 queen bed,,,,,"1 night, 2 adults",€ 256,,
Hard Rock Hotel Dublin,"Temple Bar, Dublin",,8.9,Excellent,"3,088 reviews",Standard Queen Room,1 queen bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 359,Location 9.7,
Brooks Hotel,"Saint Stephen's Green, Dublin",,8.3,Very Good,953 reviews,Classic Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 324,Location 9.7,
Westgrove Hotel,Clane,,7.9,Good,534 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 215,,
Falls Hotel & Spa,Ennistymon,Sustainability certification,8.2,Very Good,888 reviews,Double Room with Private Bathroom,1 full bed,,,,,"1 night, 2 adults",€ 341,,Breakfast included
Thirteen On The Green - Eyre Square,Galway,,7.6,Good,"2,048 reviews",Twin Room,2 twin beds,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 280,Location 9.4,
Westport Coast Hotel,Westport,Sustainability certification,8.8,Excellent,"1,062 reviews",Twin Room,Multiple bed types,,,,Only 7 rooms left at this price on our site,"1 night, 2 adults",€ 274,,Breakfast included
The Grafton Hotel,"Saint Stephen's Green, Dublin",Sustainability certification,8.7,Excellent,"1,924 reviews",Standard Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 397,Location 9.8,
Carlton Hotel Blanchardstown,Blanchardstown,,8.1,Very Good,"1,983 reviews",Superior Double Room,1 full bed,,,,,"1 night, 2 adults",€ 210,,
Stella Maris Shore House,Ballycastle,,9.2,Wonderful,142 reviews,Double Room with Garden View,1 full bed,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 220,Location 9.4,Breakfast included
Moy Hotel,Mayo,,8.6,Excellent,108 reviews,Small Double Room,1 full bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 195,,Breakfast included
Ballyseede Castle,Tralee,,9.2,Wonderful,951 reviews,Junior Castle Suite,1 king bed,,,,Only 1 left at this price on our site,"1 night, 2 adults",€ 438,,Breakfast included
Hotel Killarney,Killarney,,8,Very Good,"2,729 reviews",Standard Double Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 279,,Breakfast included
McGrory's Hotel,Culdaff,,8.9,Excellent,303 reviews,Standard Double or Twin Room,Beds: 1 double or 2 twins,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 175,,Breakfast included
Sandymount Hotel,"Ballsbridge, Dublin",Sustainability certification,8.5,Very Good,"2,252 reviews",Twin Room,2 twin beds,,,,,"1 night, 2 adults",€ 246,,
Sonder Mountjoy Square,"Dublin City Centre, Dublin",•  •  •  •  •,8.2,Very Good,"1,474 reviews",Superior Apartment,1 full bed,,,,Only 1 left at this price on our site,"1 night, 2 adults",€ 316,,
Dorrians Imperial Hotel,Ballyshannon,,8.6,Excellent,360 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 140,,Breakfast included
Hotel Ceann Sibeal,Dingle,,8.4,Very Good,770 reviews,Comfort Triple Room,"3 beds (2 twins, 1 queen)",Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 286,,Breakfast included
The Mayson,"Dublin City Centre, Dublin",•  •  •  •,8.3,Very Good,"4,313 reviews",Warehouse Suite,"2 beds (1 sofa bed, 1 queen)",,,,Only 3 left at this price on our site,"1 night, 2 adults",€ 659,,
Nox Hotel Galway,Galway,,8.4,Very Good,"4,869 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 266,,
The Merrion Hotel,"Saint Stephen's Green, Dublin",Sustainability certification,9.3,Wonderful,847 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 670,Location 9.8,
The Connacht Hotel,Galway,Sustainability certification,8.3,Very Good,"3,786 reviews",Double Room,1 king bed,Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 269,,
The Wilder,"Dublin City Centre, Dublin",,9.1,Wonderful,831 reviews,Shoebox Single Room,1 full bed,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 409,Location 9.3,
Staycity Aparthotels Dublin Castle,"Dublin City Centre, Dublin",•  •  •,8.8,Excellent,"2,203 reviews",Studio,1 queen bed,,,,Only 2 left at this price on our site,"1 night, 2 adults",€ 257,Location 9.4,
Ferrycarrig Hotel,Wexford,,8.6,Excellent,"1,245 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 276,,
The Rose Hotel,Tralee,,8.7,Excellent,980 reviews,Deluxe Double Room,2 queen beds,Free cancellation,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 265,,
The Dean Dublin,"Saint Stephen's Green, Dublin",,8.1,Very Good,"2,626 reviews",Small Double Room,1 full bed,,,,Only 7 rooms left at this price on our site,"1 night, 2 adults",€ 329,,
Lord Bagenal Inn,Leighlinbridge,,8.7,Excellent,554 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 245,,Breakfast included
Aspect Hotel Park West,Clondalkin,Sustainability certification,7.7,Good,"1,292 reviews",Standard Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 194,,
The Fitzwilliam Hotel,"Saint Stephen's Green, Dublin",,8.6,Excellent,"1,898 reviews",Garden View Room,1 full bed,,,,,"1 night, 2 adults",€ 381,Location 9.8,
Castleknock Hotel,Blanchardstown,Sustainability certification,8.7,Excellent,"2,378 reviews",Standard Room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 246,,Breakfast included
Woodfield House Hotel,Limerick,,8,Very Good,"2,075 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 199,,
Travelodge Plus Galway,Galway,,8.2,Very Good,"1,635 reviews",Twin Room with Private Bathroom,"2 beds (1 twin, 1 king)",Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 219,,
The Hoban Hotel Kilkenny,Kilkenny,Sustainability certification,8.1,Very Good,"1,218 reviews",Deluxe Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 324,,
Barberstown Castle,Straffan,,8.8,Excellent,377 reviews,Double Room with Four Poster Bed,1 full bed,Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 290,,
White Sands Hotel,Portmarnock,,7,Good,"1,499 reviews",Double or Twin Room,"2 beds (1 twin, 1 full)",,,,,"1 night, 2 adults",€ 202,,
Dingle Skellig Hotel,Dingle,,8.3,Very Good,273 reviews,Standard Double/Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 355,Location 9.3,Breakfast included
Aloft Dublin City,"Dublin City Centre, Dublin",,8.6,Excellent,"1,142 reviews",Aloft King Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 7 rooms left at this price on our site,"1 night, 2 adults",€ 609,,
The Morgan Hotel,"Temple Bar, Dublin",,8.6,Excellent,"1,995 reviews",Signature Queen Room,1 queen bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 317,Location 9.6,
"The Shelbourne, Autograph Collection","Saint Stephen's Green, Dublin",Sustainability certification,8.7,Excellent,713 reviews,Large One-Bedroom King Suite,"3 beds (2 fulls, 1 king)",Free cancellation,– pay at the property,No prepayment needed,Only 2 left at this price on our site,"1 night, 2 adults","€ 2,350",Location 9.7,
The Davenport,"Dublin City Centre, Dublin",,8.6,Excellent,909 reviews,Double Standard,1 queen bed,,,,,"1 night, 2 adults",€ 347,Location 9.4,
Menlo Park Hotel,Galway,,8.7,Excellent,"4,866 reviews",Double Room,1 queen bed,Free cancellation,,,,"1 night, 2 adults",€ 226,,
Court Yard Hotel,Leixlip,,8.4,Very Good,751 reviews,Superior Double Room,1 queen bed,Free cancellation,,,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 270,,Breakfast included
The Killarney Park,Killarney,Sustainability certification,9.5,Exceptional,447 reviews,Classic King Room,1 king bed,,,,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 555,Location 9.8,Breakfast included
Royal Valentia Hotel,Valentia Island,,8.4,Very Good,864 reviews,Standard Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 140,Location 9.6,Breakfast included
Dublin Citi Hotel of Temple Bar,"Temple Bar, Dublin",,7.3,Good,"1,058 reviews",Double Room,1 full bed,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 252,,
Actons Hotel Kinsale,Kinsale,,8.7,Excellent,388 reviews,Classic Double Room,1 full bed,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 320,Location 9.6,Breakfast included
Kilkenny Pembroke Hotel,"Kilkenny City Centre, Kilkenny",,8.6,Excellent,"1,433 reviews",Executive King Room,1 king bed,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 319,Location 9.7,Breakfast included
Lough Eske Castle,Donegal,,8.8,Excellent,662 reviews,Junior Suite,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 left at this price on our site,"1 night, 2 adults",€ 717,,Breakfast included
Teac Jack,Bunbeg,,8.7,Excellent,540 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 140,Location 9.4,Breakfast included
Leixlip Manor Hotel,Leixlip,,8,Very Good,"2,546 reviews",Superior Double Room - Manor House,1 king bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 214,,
The Western Hotel,Galway,,8.2,Very Good,"3,506 reviews",Standard Double Room,1 full bed,Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 285,Location 9.4,
Grafton Street Studios by City Break Apartments,"Saint Stephen's Green, Dublin",•  •  •,8.3,Very Good,"1,496 reviews",Loft Studio,1 queen bed,,,,,"1 night, 2 adults",€ 342,Location 9.7,
REZz Cork,Cork,,6.9,Review score,"3,955 reviews",Budget Double Room,1 full bed,,,,,"1 night, 2 adults",€ 150,,
Travelodge PLUS Dublin City Centre,"Dublin City Centre, Dublin",,8.3,Very Good,"4,912 reviews",Superior Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 249,,
The Snug Townhouse,Galway,,8.5,Very Good,"2,458 reviews",The Cozy Room,1 queen bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 329,Location 9.7,
Hotel Curracloe,Curracloe,,7.9,Good,"1,068 reviews",Double Room,1 full bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 129,,
"Green Isle Hotel, Dublin",Clondalkin,,7.2,Good,"1,945 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 237,,
Avalon House Hotel,Castlecomer,,8.7,Excellent,706 reviews,Small Double Room,1 full bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 279,,
Shamrock Inn Hotel,Lahinch,,8.3,Very Good,344 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 195,Location 9.5,
Óstán Oileán Acla,Achill Sound,,8.1,Very Good,480 reviews,Family Room (2 Adults + 2 Children),"3 beds (2 twins, 1 full)",,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 178,,Breakfast included
Baginbun Lodge,Fethard on Sea,,8.8,Excellent,689 reviews,Double Room,1 full bed,Free cancellation,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 162,,Breakfast included
The Horse and Hound Hotel,Ballynabola,,8.2,Very Good,423 reviews,Double or Twin Room,Multiple bed types,,,,Only 7 rooms left at this price on our site,"1 night, 2 adults",€ 135,,
Killarney Heights Hotel,Killarney,,8.4,Very Good,"1,807 reviews",Twin room,"2 beds (1 twin, 1 full)",,,,,"1 night, 2 adults",€ 251,,
Rochestown Lodge Hotel,Dun Laoghaire,,8.1,Very Good,"1,637 reviews",Classic Double and Single Room,"2 beds (1 twin, 1 full)",Free cancellation,,,,"1 night, 2 adults",€ 179,,
Vaughan Lodge Hotel,Lahinch,•  •,9.1,Wonderful,546 reviews,Deluxe King Studio,1 queen bed,,,,Only 1 left at this price on our site,"1 night, 2 adults",€ 300,Location 9.6,Breakfast included
Summerhill House Hotel,Enniskerry,,8,Very Good,"1,721 reviews",Twin Room,2 twin beds,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 270,,Breakfast included
Troysgate House,"Kilkenny City Centre, Kilkenny",,5.9,Review score,190 reviews,Standard Double Room,1 full bed,,,,,"1 night, 2 adults",€ 229,,
Dublin One,"Dublin City Centre, Dublin",,8.4,Very Good,"6,288 reviews",Standard Double Room,1 full bed,,,,,"1 night, 2 adults",€ 344,,
Keenans Boutique Hotel,Termonbarry,,8.9,Excellent,385 reviews,Deluxe Twin Room,2 twin beds,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 184,,Breakfast included
Towers Hotel Glenbeigh,Glenbeigh,,8.1,Very Good,396 reviews,Deluxe Double Room (no pets allowed),1 queen bed,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 230,,Breakfast included
The Copper Still Bar,Dromod,,8.6,Excellent,265 reviews,Deluxe Double Room with Shower,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 139,,
The James Hotel,Tralee,,9.1,Wonderful,86 reviews,Suite,2 queen beds,Free cancellation,– pay at the property,No prepayment needed,Only 1 left at this price on our site,"1 night, 2 adults",€ 570,Location 9.6,
Glenlo Abbey Hotel,Galway,,9.1,Wonderful,691 reviews,Classic King Room,1 queen bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 529,Location 9.4,Breakfast included
Metro Hotel Dublin Airport,Santry,,8.2,Very Good,"5,048 reviews",Double Room,1 queen bed,Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 211,,
O'Shea's Hotel,Tramore,,8,Very Good,677 reviews,Triple Room (One Double and One Single Bed),"3 beds (2 twins, 1 queen)",,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 177,Location 9.3,
Zanzibar Locke,"Dublin City Centre, Dublin",•  •  •,9.2,Wonderful,"5,143 reviews",Locke Studio,1 queen bed,,,,Only 6 left at this price on our site,"1 night, 2 adults",€ 284,Location 9.8,
The Sliding Rock Inn,Galway,,7.8,Good,"1,754 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 210,,Breakfast included
Greenhills Hotel Limerick,Limerick,,7.9,Good,"1,750 reviews",Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 229,,
"Keavan's Port Hotel , Dublin","Dublin City Centre, Dublin",,8.5,Very Good,"6,998 reviews",Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 229,,
Handel's Hotel,"Temple Bar, Dublin",,8,Very Good,"2,387 reviews",Standard Double Room,1 queen bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 219,Location 9.5,
Cork's Vienna Woods Hotel & Villas,Cork,,8.6,Excellent,"1,327 reviews",Double Standard,1 full bed,,,,,"1 night, 2 adults",€ 229,,
Temple Bar Lane,"Temple Bar, Dublin",,7.1,Good,"3,480 reviews",Double Room,1 full bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 229,Location 9.3,
Gleesons Townhouse Booterstown,Dublin,,9.1,Wonderful,881 reviews,Double or Twin Room,Multiple bed types,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 209,,
